Verbs\Deprels	NMOD	P	PMOD	SBJ	OBJ	ADV	NAME	VC	COORD	DEP	TMP	CONJ	LOC	AMOD	PRD	APPO	IM	HYPH	EXTRA
chronicles	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cite	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
claim	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
closed	0	12	0	6	0	8	0	0	0	0	3	0	3	0	0	0	0	0	0
coincidence	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
collaborate	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
collar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
colleagues	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
colo	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
comes	0	5	0	4	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0
completed	0	3	0	2	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0
concede	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
concedes	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
concluded	0	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
concludes	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
confirmed	0	4	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
confronts	0	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
considers	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
consisted	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
consortium	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
contains	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
contends	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
continued	0	3	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2
contributed	0	5	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
control	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cooperman	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
could	0	27	0	19	0	11	0	19	1	1	2	0	0	0	0	0	0	0	0
count	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
counters	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
covers	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
criticized	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
criticizes	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
curb	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
curzio	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
cyanamid	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
davis	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
days	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
debentures	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
declared	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
declined	3	15	0	12	3	0	0	0	1	1	1	0	2	0	0	0	0	0	9
defended	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
defies	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denied	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
described	0	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1
develop	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
did	0	33	0	19	1	20	0	15	3	1	1	0	1	0	0	0	0	0	0
died	0	2	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
disagree	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
disclosed	0	4	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0
dismisses	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
divvied	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2
do	0	22	0	12	2	16	0	10	3	2	2	1	0	0	0	0	0	0	1
does	0	18	0	10	0	15	0	9	1	3	0	0	0	0	0	0	0	0	0
doth	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
doubled	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2
doubt	2	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
draws	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
dresses	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
drew	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1
dropped	0	14	0	8	3	3	0	0	1	1	3	0	0	0	0	0	0	0	9
drops	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
earned	0	21	0	11	9	5	0	0	1	0	10	0	0	0	0	0	0	0	0
economist	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
embargoed	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emerges	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
emphasized	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ends	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entertainment	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
erased	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
estimated	0	4	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
estimates	0	3	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0
eurodollars	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exacerbates	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
excluded	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
exited	0	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
expect	0	7	0	4	5	1	0	0	1	0	2	0	0	0	0	0	0	0	3
expected	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expects	0	13	0	10	7	2	0	0	2	1	1	0	0	0	0	0	0	0	10
expired	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
explained	0	6	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
explains	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expressed	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
extends	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
faces	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
fail	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
fall	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
falling	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
far	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
features	0	7	0	3	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0
fed	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
feel	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
feels	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
fees	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
fell	0	17	0	10	0	1	0	0	0	1	6	0	5	0	0	0	0	0	15
feuded	0	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1
figures	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
filled	0	5	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
finds	0	3	0	1	2	2	0	0	1	0	1	0	1	0	0	0	0	0	0
finished	0	3	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
firm	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flocked	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
focus	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
followed	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
follows	0	3	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
forced	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
forecast	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
foresaw	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
foresee	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
found	0	4	0	3	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0
frank	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0
freed	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frets	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fund	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1
funds	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gabelli	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gained	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
galbraith	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
garnered	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
garzarelli	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gave	0	3	0	2	3	1	0	0	1	0	1	0	0	0	0	0	0	0	1
give	0	2	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
gives	1	3	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1
goes	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
got	0	4	0	3	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1
grandmother	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
granville	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
grew	0	5	0	3	0	2	0	0	0	0	4	0	0	0	0	0	0	0	2
guess	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
had	0	58	0	34	17	7	0	18	8	0	14	0	1	0	0	0	0	0	3
hailed	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
halted	0	3	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3
happened	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hardiman	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
has	0	142	0	92	15	32	0	81	15	9	20	0	2	0	0	0	0	0	4
have	0	104	0	66	7	15	0	59	9	8	17	1	5	0	0	0	0	0	2
heard	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hedge	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
highlighted	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hired	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hit	0	4	0	2	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0
holds	0	5	0	3	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0
hope	0	4	0	3	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1
how	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hurt	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
hurts	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
if	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
imagine	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
impose	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
improved	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
include	0	4	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
included	0	6	0	6	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0
includes	0	6	0	4	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0
increase	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
increased	0	3	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	2
indicated	0	5	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
indicates	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
industries	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
insisted	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
insists	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
institute	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
instruments	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
intended	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
interpret	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
introduced	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
is	1	277	0	191	3	69	0	100	20	11	15	2	6	0	96	0	0	0	12
issued	0	5	0	3	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0
jersey	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
joins	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
jumped	0	4	0	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3
keep	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
kept	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
knows	0	7	0	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	1
labeled	0	4	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2
lack	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
lamented	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lawmakers	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
learned	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leave	0	3	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1
leaves	0	3	0	2	3	2	0	0	0	0	1	0	1	0	0	0	0	0	1
left	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
len	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
less	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
levin	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
libor	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
linkage	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
listed	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lived	0	4	0	2	1	2	0	1	0	0	1	0	2	0	0	0	0	0	0
look	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
looking	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
looks	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
loses	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
lost	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
lowered	0	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
made	0	3	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
make	0	11	0	4	4	3	0	0	2	1	1	0	0	0	0	0	0	0	2
makes	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
managed	0	7	0	3	0	4	0	0	0	1	0	0	1	0	0	0	0	0	2
manhattan	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
many	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
market	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
marks	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mass	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
matched	0	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
may	0	35	0	24	0	7	0	23	3	2	2	0	1	0	0	0	0	0	0
mayor	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
means	0	4	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
met	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
money	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
month	18	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
months	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
more	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mortgage	0	3	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3
morton	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
moved	0	7	0	3	1	0	0	0	1	0	3	0	3	0	0	0	0	0	1
must	0	13	0	7	0	3	0	7	0	0	1	0	1	0	0	0	0	0	0
n.j	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
named	0	2	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
national	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
needs	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noted	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
notes	7	10	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1
notified	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
obey	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
observed	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
occurred	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
occurs	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
of	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
offer	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
offered	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
offers	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
on	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
opened	0	3	0	2	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0
operate	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
operates	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
optimism	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ordered	0	5	0	3	3	1	0	0	0	0	2	0	0	0	0	0	0	0	3
ordinary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ornate	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
others	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ought	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
outpace	0	4	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
outpaced	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
over	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
owns	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
paid	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paint	0	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
painted	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
palmingiano	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
paper	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
parkways	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
participates	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
pay	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
